
==================================================
epoch=1
новости                      ==> нооостт                     
побывал                      ==> побывать                    
трактовке                    ==> трактовка                   
надеваю                      ==> надевать                    
притворную                   ==> притворный                  
чудовищной                   ==> чудовииный                  
Николаева                    ==> Николаев                    
указами                      ==> указам                      
наиярчайшей                  ==> наиярчышет                  
обстрелу                     ==> обстрель                    
растущим                     ==> растущий                    
орловской                    ==> ооловский                   
постройся                    ==> построотьсся                
заложенных                   ==> заложенный                  
Симоновым                    ==> Симонов                     
седые                        ==> седе                        
лесками                      ==> леска                       
избавите                     ==> избавить                    
стройкой                     ==> стройка                     
украинских                   ==> украииский                  
Алисы                        ==> Алис                        
наистрашнейших               ==> наистрашный                 
настойчивое                  ==> настоячивый                 
заинтригованным              ==> ззинтригованный             
предпринималась              ==> предприниматься             
гостиничное                  ==> гостиничный                 
грозите                      ==> грозить                     
похожего                     ==> похожд                      
обманутые                    ==> обманутый                   
звонбочайшего                ==> звоббочеоь                  
вопросительную               ==> вопросительный              
лукавейшему                  ==> лукавый                     
покером                      ==> покер                       
мирного                      ==> мирог                       
непринужденнейшего           ==> неприуужденный              
содеянной                    ==> содеянный                   
показательнейшее             ==> показательный               
исках                        ==> иска                        
крупнейшим                   ==> кррпеый                     
пробег                       ==> пробе                       
полового                     ==> половый                     
посадочной                   ==> посадочный                  
звонил                       ==> звонить                     
встревожатся                 ==> встревожаться               
подворья                     ==> подвории                    
ответе                       ==> ответь                      
докладчику                   ==> докладчик                   
объявлениями                 ==> объявление                  
заспанном                    ==> заспанный                   
язык                         ==> язык                        
формируемся                  ==> формироваться               
наладится                    ==> наладиться                  
наидоступнейший              ==> наидоступный                
рассержено                   ==> рассерженный                
понадобиться                 ==> понадобиться                
вескою                       ==> веско                       
похищай                      ==> похищать                    
дождливейшей                 ==> дождливый                   
АЭС                          ==> АзА                         
силка                        ==> силка                       
знаменитейшей                ==> знамениты                   
прозвища                     ==> прозвище                    
затеваем                     ==> затевать                    
перебивало                   ==> перебивать                  
бесят                        ==> бесят                       
хлысту                       ==> хластт                      
приобретен                   ==> приобретень                 
романтике                    ==> романтик                    
питерскими                   ==> питерский                   
детекторов                   ==> детектор                    
интимной                     ==> интимный                    
рассуждению                  ==> рассуждение                 
коммунистическое             ==> комменистический            
приемным                     ==> приммный                    
скрылась                     ==> скрысьсь                    
служители                    ==> служитель                   
попытать                     ==> попытать                    
карикатурой                  ==> карикатрр                   
парусу                       ==> парусу                      
будили                       ==> будиль                      
расположения                 ==> расположение                
соседнего                    ==> соседнн                     
лыжи                         ==> лыжит                       
кавалерией                   ==> кавалерия                   
банковских                   ==> банковский                  
Эдмунде                      ==> ддммнд                      
тягачи                       ==> тягачить                    
заветнейшими                 ==> заветный                    
загрузками                   ==> загрузка                    

==================================================
epoch=3
здоровеннейшее               ==> здоровенный                 
фактом                       ==> факты                       
висками                      ==> висса                       
обязательные                 ==> обязательный                
блестящею                    ==> блестящий                   
бравые                       ==> бравый                      
потнейшему                   ==> потныый                     
дружок                       ==> дружок                      
сухопутных                   ==> сухопутный                  
знакомую                     ==> знакомый                    
оздоровительного             ==> оздоровительный             
поплелся                     ==> поплеться                   
долгожданнейшему             ==> доггожданный                
глазом                       ==> глаз                        
пни                          ==> чннт                        
сеансом                      ==> сеанс                       
притворную                   ==> притворный                  
водам                        ==> вода                        
авиационные                  ==> авиационный                 
парах                        ==> пара                        
литовца                      ==> литовец                     
углах                        ==> угл                         
ароматнейшего                ==> ароматный                   
шведских                     ==> шведский                    
невестах                     ==> невест                      
безумной                     ==> безумный                    
линзы                        ==> линз                        
визитная                     ==> визитный                    
фактическое                  ==> фактический                 
безрезультатного             ==> беррезульстлный             
затмению                     ==> затмение                    
знающем                      ==> знающий                     
присылает                    ==> присылать                   
колхозником                  ==> колхозник                   
могилами                     ==> могил                       
уволенных                    ==> уволенный                   
плачущим                     ==> плачущий                    
экстремизмом                 ==> экстремизмы                 
недостроенной                ==> недостроенный               
цыганского                   ==> цеганский                   
тяжелом                      ==> тяжелый                     
поколений                    ==> поколение                   
гомон                        ==> гомон                       
горсоветам                   ==> горсовет                    
чугунного                    ==> чугунный                    
радужен                      ==> радужен  й                  
типографии                   ==> типография                  
смелость                     ==> смелость                    
геологам                     ==> геолог                      
рассмотренного               ==> рассмотренный               
голубоватой                  ==> голубоватый                 
рискованный                  ==> рискованный                 
окачу                        ==> окатать                     
проливным                    ==> проливный                   
оживилось                    ==> оживиться                   
портьеру                     ==> портьер                     
задумчивый                   ==> задумчивый                  
порасти                      ==> порастт                     
губернаторским               ==> губернаторский              
каменистой                   ==> каменистый                  
тронутым                     ==> тронутый                    
уничтожили                   ==> уничтожить                  
подножии                     ==> подножить                   
республики                   ==> рескублик                   
шпильки                      ==> шпилька                     
замедлюсь                    ==> замедлться                  
ворвешься                    ==> ворвтььь                    
украинского                  ==> украинский                  
открывались                  ==> открываться                 
товарищескою                 ==> товарищеский                
сморщенного                  ==> сморщенный                  
немки                        ==> немка                       
покойный                     ==> покойный                    
искусных                     ==> искусный                    
меняюсь                      ==> меняться                    
консервативного              ==> консервативный              
фыркнул                      ==> фыркнуть                    
занавеске                    ==> занавеска                   
профессии                    ==> профессия                   
журчало                      ==> журчать                     
согреет                      ==> согреть                     
направляются                 ==> направляться                
радужному                    ==> радужный                    
брачной                      ==> брачный                     
телесной                     ==> телесный                    
награждения                  ==> награждение                 
маркиз                       ==> маркиз                      
пышному                      ==> пышный                      
добросовестнейший            ==> дорросовестный              
любезность                   ==> любезность                  
крабы                        ==> краб                        
снимок                       ==> снимка                      
монастырские                 ==> монастырский                
собеседницей                 ==> собеседница                 
палатки                      ==> палатка                     
нестерпимом                  ==> нестерпимый                 
автокатастрофы               ==> антокатастрот               
проездах                     ==> проезд                      
недвижимостями               ==> недвижимость                
деревянные                   ==> деревянный                  

==================================================
epoch=4
аббатом                      ==> аббат                       
Рихтера                      ==> Рихтер                      
разыщу                       ==> разыыа                      
течениям                     ==> течение                     
пересохшей                   ==> пересохший                  
кемеровским                  ==> кемеровский                 
храбрейших                   ==> храрыйй                     
приемных                     ==> приемный                    
сборниками                   ==> сборник                     
Прибалтике                   ==> Прибалтиа                   
посланий                     ==> послание                    
двоила                       ==> двиит                       
профилактическому            ==> профолактический            
поселись                     ==> посетись                    
рвусь                        ==> рвстт                       
правоохранителях             ==> правоохранилель             
черноморский                 ==> черноморский                
инструкции                   ==> инструкця                   
сглотнут                     ==> сглотнут                    
могильной                    ==> могильный                   
выкинь                       ==> выкиньт                     
нефтегазовые                 ==> нефтегазовый                
вулкане                      ==> вулкан                      
комбинат                     ==> комбинат                    
свинья                       ==> свинье                      
сломленном                   ==> сломленный                  
контрабандистов              ==> контрабаднист               
переговорный                 ==> переговорный                
художниками                  ==> художник                    
монахинею                    ==> монахин                     
милости                      ==> милост                      
руинах                       ==> руин                        
декорации                    ==> декорация                   
рабства                      ==> рабство                     
аналогии                     ==> аналогия                    
достаточном                  ==> достаточный                 
отвращение                   ==> отвращение                  
практичному                  ==> практичный                  
составляющем                 ==> составляющий                
геологической                ==> геологический               
купленными                   ==> купленный                   
наивное                      ==> наавной                     
Корей                        ==> Коре                        
блещете                      ==> блещтт                      
встречном                    ==> встречный                   
собачих                      ==> собачий                     
шлепнула                     ==> шлепнут                     
постель                      ==> постель                     
подсело                      ==> подсеть                     
благородстве                 ==> благородтв                  
попонятнее                   ==> попонятнй                   
насыщенные                   ==> насыщенный                  
уношу                        ==> уноши                       
обгоревшим                   ==> обгоревший                  
агитация                     ==> агитация                    
ограничению                  ==> ограничение                 
вилка                        ==> вилка                       
спиралях                     ==> спираль                     
благосклоннейшей             ==> благосклоннй                
благоухала                   ==> благоххал                   
устойчивого                  ==> устойчивый                  
робкая                       ==> робки                       
спальную                     ==> спальный                    
безобидной                   ==> безобидный                  
звездным                     ==> звездный                    
яды                          ==> яду                         
главнокомандующею            ==> гланнокоманнющий            
оживлю                       ==> ожившть                     
скорбнейшему                 ==> скорбный                    
подталкивали                 ==> подталкивать                
почтительны                  ==> почтительны                 
легкового                    ==> легковый                    
разъезжали                   ==> разъежжать                  
знаковым                     ==> знаковый                    
прерывайтесь                 ==> прерываться                 
поломаем                     ==> поломать                    
сном                         ==> кнна                        
венецианским                 ==> венецианский                
адресованного                ==> адресованный                
Кудрины                      ==> Кудрин                      
благодарною                  ==> благодарный                 
племена                      ==> племен                      
бинт                         ==> бинт                        
экономического               ==> экономический               
раздельного                  ==> раздельный                  
сковород                     ==> сковород                    
красивого                    ==> красивый                    
прибытия                     ==> прибытие                    
купайся                      ==> купаться                    
рогатом                      ==> рогат й                     
ухудшитесь                   ==> ухудиться                   
подготовлено                 ==> подготовлннн                
перекинутся                  ==> перекинуться                
покеров                      ==> покер                       
встрепенется                 ==> встрепестьяс                
ловчайшего                   ==> ловчыш                      
входящей                     ==> входящий                    
охвачена                     ==> охваченный                  
Грэхемом                     ==> Грэхем                      
бесформенны                  ==> бесформенн                  

==================================================
epoch=5
замерзшие                    ==> замерзший                   
офицерского                  ==> офицерский                  
тузе                         ==> туз                         
риторического                ==> риторический                
потом                        ==> пот                         
кемеровского                 ==> кемеровский                 
беззаботнее                  ==> беззаботны                  
присвистнешь                 ==> присвистнуть                
Арменией                     ==> Армения                     
Грефых                       ==> Греф                        
презрении                    ==> презрение                   
поселенцем                   ==> поселенец                   
несущих                      ==> несущий                     
мучительный                  ==> мучительный                 
товариществам                ==> товарищество                
избираешься                  ==> избираться                  
появлений                    ==> появление                   
аутсайдерах                  ==> аутсайдер                   
легионера                    ==> легионер                    
канализационной              ==> канализационный             
дал                          ==> даль                        
церковною                    ==> церковный                   
натянутого                   ==> натянутый                   
погребальном                 ==> погребальный                
обнаженного                  ==> обнаженный                  
авторов                      ==> автор                       
горячее                      ==> горячий                     
иркутских                    ==> иркутский                   
доброжелательной             ==> доброжелательный            
ревнуйте                     ==> ревновать                   
мимолетном                   ==> мимолетный                  
беру                         ==> бер                         
расстановки                  ==> расстановка                 
презрительного               ==> презрительный               
разместишься                 ==> разместиться                
рыболовного                  ==> рыболовный                  
предстоит                    ==> предстоить                  
проворно                     ==> проворной                   
сносах                       ==> снос                        
трясинами                    ==> трясин                      
скандальном                  ==> скандальный                 
содержательнейшими           ==> содержательный              
зрелую                       ==> зрелый                      
изображенной                 ==> изображенный                
предзнаменованию             ==> предзнамьнование            
состоятельнейшей             ==> состоятельный               
пулеметчика                  ==> пулеметчик                  
трогательной                 ==> трогательный                
пробираю                     ==> пробирать                   
гладиаторах                  ==> гладиатор                   
горбатому                    ==> горбатый                    
прекращение                  ==> прекращение                 
Примаковыми                  ==> Примаков                    
дельнейшей                   ==> дельный                     
затеряемся                   ==> затеряться                  
вынужденною                  ==> вынужденный                 
экзотическому                ==> экзотический                
коллекции                    ==> коллекция                   
кандидатур                   ==> кандидатур                  
пожитков                     ==> пожиткк                     
пухлого                      ==> пухлый                      
пронзительнейшем             ==> пронзительный               
гонщике                      ==> гонщик                      
соров                        ==> сор                         
испариной                    ==> испарина                    
нагруженном                  ==> нагруженный                 
скованнейшая                 ==> скованный                   
жадной                       ==> жадный                      
укрылись                     ==> укрылься                    
неоспоримое                  ==> неоспоримый                 
пропускных                   ==> пропускный                  
качественнейший              ==> качественный                
дождливой                    ==> дождливый                   
уральский                    ==> уральский                   
упрямое                      ==> упрямый                     
претенденты                  ==> претендент                  
непроглядны                  ==> непроглядный                
наидревнейшие                ==> наидревный                  
инвестиционных               ==> инвестиционный              
учительского                 ==> учительский                 
жилищного                    ==> жилищнай                    
пехотных                     ==> пехотный                    
повторно                     ==> повторной                   
уместная                     ==> уместный                    
существовать                 ==> существовать                
разъяснила                   ==> разъяснить                  
непонятнейшие                ==> непонятный                  
волшебниц                    ==> волшебница                  
сие                          ==> ссй                         
монополии                    ==> монополия                   
начало                       ==> начать                      
картинку                     ==> картинка                    
злосчастной                  ==> злосчастный                 
покиньте                     ==> покинить                    
решительнейшей               ==> решительный                 
проследим                    ==> проследить                  
коране                       ==> коран                       
потерян                      ==> потерян                     
благосклонной                ==> благосклонный               
невнятнейшей                 ==> невнятный                   

==================================================
epoch=6
потерпевшему                 ==> потерпевший                 
окно                         ==> окно                        
раздавлю                     ==> раздавить                   
управы                       ==> управ                       
непростое                    ==> непростый                   
негативу                     ==> негатив                     
разорения                    ==> разорение                   
преобразись                  ==> преобразиться               
ярославских                  ==> ярославский                 
заходящей                    ==> заходящий                   
выстроюсь                    ==> выстротться                 
механизатором                ==> механизатор                 
отключатся                   ==> отключиться                 
финское                      ==> финский                     
начинающее                   ==> начинающий                  
мысленном                    ==> мысленный                   
березки                      ==> березка                     
учении                       ==> учение                      
омерзительнейшему            ==> омерзительный               
творческой                   ==> творческий                  
модернизации                 ==> модернизация                
басмачам                     ==> басмача                     
Люсинды                      ==> Люсинд                      
мятого                       ==> мятой                       
приписывает                  ==> приписывать                 
наделаете                    ==> наделать                    
болячек                      ==> болячка                     
достовернейшую               ==> достоверный                 
опасаться                    ==> опасаться                   
приманка                     ==> приманка                    
выкрикнула                   ==> выкрикнуть                  
чувашскому                   ==> чувашский                   
зажиганию                    ==> зажигание                   
отказаться                   ==> отказаться                  
бесконечном                  ==> бесконечный                 
Тува                         ==> Тув                         
спеша                        ==> спеша                       
напиться                     ==> напиться                    
состоите                     ==> состоить                    
нежнейшей                    ==> нежеый                      
подряд                       ==> подряд                      
гонцами                      ==> гонец                       
исключительнейшим            ==> исключительный              
вдохновением                 ==> вдохновение                 
усугубляло                   ==> усугублять                  
воришек                      ==> воришка                     
кулачок                      ==> кулачка                     
дергали                      ==> дергаль                     
изяществе                    ==> изящество                   
казненную                    ==> казненный                   
свирепствовало               ==> свирепствовать              
ожиданьям                    ==> ожиданье                    
древних                      ==> древний                     
брошенный                    ==> брошенный                   
Платоновых                   ==> Платонов                    
инстинкты                    ==> инстинкт                    
Ленькой                      ==> Леньккй                     
воя                          ==> войй                        
скулами                      ==> скула                       
демократии                   ==> демократия                  
жизнерадостнейшие            ==> жизнерадостный              
разъедься                    ==> разъедиться                 
сущих                        ==> сущий                       
комья                        ==> комьй                       
передовой                    ==> передовый                   
настройте                    ==> настротть                   
оступись                     ==> оступиться                  
виноградном                  ==> виноградный                 
недвижимый                   ==> недвижимый                  
дикторов                     ==> диктор                      
связаной                     ==> связаный                    
материком                    ==> материк                     
застрахован                  ==> застрахованный              
мобильным                    ==> мобильный                   
ужасами                      ==> ужас                        
человекам                    ==> человек                     
похолодания                  ==> похолодание                 
красноватые                  ==> красноватый                 
радужнейшая                  ==> радужный                    
нетрезвой                    ==> нетрезвой                   
тигре                        ==> тигра                       
преступного                  ==> преступный                  
вопит                        ==> вопить                      
неприступнейшим              ==> неприступный                
олицетворяло                 ==> олицетворять                
снимаемся                    ==> сниматься                   
чебоксарском                 ==> чебоксарский                
ленивейшей                   ==> ленивый                     
сушайшим                     ==> сушый                       
львиной                      ==> львина                      
этаких                       ==> этакий                      
любящее                      ==> любящий                     
кипы                         ==> кипа                        
укусили                      ==> укусить                     
нежданное                    ==> нежданный                   
середине                     ==> середина                    
макушки                      ==> макушка                     
древнем                      ==> древнуть                    
нелепейшая                   ==> нелепывй                    
серверу                      ==> сервер                      

==================================================
epoch=7
построениями                 ==> построение                  
смахиваю                     ==> смахивать                   
стыдных                      ==> стыдный                     
голые                        ==> голый                       
ходовому                     ==> ходовый                     
беспечнейшем                 ==> беспечный                   
утвержденного                ==> утвержденный                
почтеннее                    ==> почтенно                    
опаснейшей                   ==> опасный                     
заканчивало                  ==> заканчивать                 
двойниками                   ==> двойник                     
крупнейший                   ==> крупный                     
виноватейшая                 ==> виноватый                   
малиновейшее                 ==> малиновый                   
вскакивай                    ==> вскакивать                  
неисправный                  ==> неисправный                 
оцепленном                   ==> оцепленный                  
неточностям                  ==> неточность                  
выплачиваем                  ==> выплачивать                 
бритва                       ==> бритва                      
обеспечена                   ==> обеспеченный                
приедешь                     ==> приесьт                     
неустойчивое                 ==> неустойчивый                
волшебнейшему                ==> волшебный                   
отзовись                     ==> отзовиться                  
сдержишь                     ==> сдержить                    
озвучиваешь                  ==> озвучивать                  
танцевальной                 ==> танцевальный                
увесистой                    ==> увесистый                   
требуемом                    ==> требуемый                   
итоговым                     ==> итоговый                    
подвижнейшие                 ==> подвижный                   
грохоты                      ==> грохот                      
предзнаменования             ==> предзнаменование            
повешу                       ==> повесать                    
сопровождаемой               ==> сопровождаемый              
сторожат                     ==> сторожить                   
выпукла                      ==> выпукт                      
льдине                       ==> льдин                       
импровизированном            ==> импровизированный           
Янке                         ==> Янкк                        
одинаково                    ==> одинаков                    
звездочки                    ==> звездочка                   
пенсионеркам                 ==> пенсионерка                 
олимпийцы                    ==> олимпиец                    
ремонтируются                ==> ремонтироваться             
препятствуешь                ==> препятствовать              
перевернутых                 ==> перевернутый                
выслушало                    ==> выслушать                   
жилищных                     ==> жилищный                    
баскетболом                  ==> баскетбол                   
ветрены                      ==> ветрен                      
запечатанным                 ==> запечатанный                
протянутой                   ==> протянутый                  
Симона                       ==> Симон                       
расплатимся                  ==> расплатиться                
язвам                        ==> яз                          
потерянной                   ==> потерянный                  
консервативном               ==> консервативный              
расплывчато                  ==> расплывчатьй                
поверни                      ==> повернуть                   
сожрал                       ==> сожрать                     
сбитые                       ==> сбитый                      
казной                       ==> казный                      
рогатом                      ==> рогат й                     
забывают                     ==> забывать                    
связистам                    ==> связист                     
отгоняй                      ==> отгонять                    
аудиторскими                 ==> аудиторский                 
табуретами                   ==> табурет                     
подобал                      ==> подобать                    
копченый                     ==> копченый                    
скверною                     ==> скверный                    
ловит                        ==> ловит                       
обыкновенный                 ==> обыкновенный                
размытых                     ==> размытый                    
щенка                        ==> щенка                       
гильзе                       ==> гильз                       
громаднейшей                 ==> громадный                   
адмиралами                   ==> адмирал                     
чистить                      ==> чистить                     
оставленным                  ==> оставленный                 
срочным                      ==> срочный                     
нежданных                    ==> нежданный                   
арабскою                     ==> арабска                     
оборонительное               ==> оборонительный              
пленниках                    ==> пленник                     
регионом                     ==> регион                      
заявленном                   ==> заявленный                  
гладиаторе                   ==> гладиатор                   
фарсу                        ==> фарс                        
подготовленного              ==> подготовленный              
отработанною                 ==> отработанный                
наноситесь                   ==> наноситься                  
морской                      ==> морский                     
затрате                      ==> затрать                     
бочки                        ==> бочка                       
проему                       ==> преем                       
лабораторные                 ==> лабораторный                
ловушке                      ==> ловушка                     

==================================================
epoch=8
согражданина                 ==> согражданин                 
сердечными                   ==> сердечный                   
почестей                     ==> почестит                    
реванши                      ==> реванка                     
призваны                     ==> призванный                  
окружим                      ==> окружить                    
безобразных                  ==> безобразный                 
гвоздикою                    ==> гвоздика                    
нищее                        ==> нищий                       
глупом                       ==> глуп                        
садистах                     ==> садист                      
потраченные                  ==> потраченный                 
одаришь                      ==> одарить                     
невыразимым                  ==> невыразимый                 
перекинешь                   ==> перекинуть                  
оглушительное                ==> оглушительный               
непоправимое                 ==> непоправимый                
принуждений                  ==> принуждение                 
флотскую                     ==> флотский                    
плачевного                   ==> плачевный                   
нерешенное                   ==> нерешенный                  
образованнейшую              ==> образованный                
нравственнейшим              ==> нравственный                
ухудшениях                   ==> ухудшение                   
Варшавой                     ==> Варшава                     
подсказкой                   ==> подсказка                   
обильным                     ==> обильный                    
Уэсли                        ==> Уосли                       
заложите                     ==> заложить                    
Киселевым                    ==> Киселев                     
настольную                   ==> настольный                  
неприличной                  ==> неприличный                 
почтеньем                    ==> почтенье                    
червонце                     ==> червонец                    
соискателя                   ==> соискатель                  
разбогатеют                  ==> разбогатеть                 
вахтенному                   ==> вахтенный                   
избирается                   ==> избираться                  
давнейшее                    ==> давдыв                      
духового                     ==> духовый                     
огорчились                   ==> огорчиться                  
стыдного                     ==> стыдный                     
иначе                        ==> инача                       
отличительных                ==> отличительный               
отброшенное                  ==> отброшенный                 
предполагается               ==> предполагаться              
аппаратуре                   ==> аппаратура                  
перекрытою                   ==> перекрытый                  
односторонний                ==> односторонний               
мешка                        ==> мешка                       
насмехалось                  ==> насмехаться                 
пня                          ==> пнит                        
расстраивался                ==> расстраиваться              
колониальные                 ==> колониальный                
атаку                        ==> атак                        
потерями                     ==> потерь                      
удобное                      ==> удобный                     
нянь                         ==> няньт                       
дверные                      ==> дверный                     
переработки                  ==> переработка                 
сойдемся                     ==> сойдиться                   
внимательных                 ==> внимательный                
тетею                        ==> тетей                       
затопленными                 ==> затопленный                 
дубе                         ==> дуба                        
заклятием                    ==> заклятие                    
ангельском                   ==> ангельский                  
трудное                      ==> трудный                     
оптическому                  ==> оптический                  
бледнейшем                   ==> бледный                     
сообщит                      ==> сообщить                    
талантливейшего              ==> талантливый                 
законодателя                 ==> законодатель                
адекватнейших                ==> адекватный                  
согрел                       ==> согреть                     
Марусь                       ==> Мартьь                      
года                         ==> год                         
потные                       ==> потный                      
удивленьем                   ==> удивленье                   
мужественнейшими             ==> мужественный                
карабахским                  ==> карабахский                 
совершеннейший               ==> совершенный                 
липецкой                     ==> липецкий                    
подпишут                     ==> подписат                    
ледоколу                     ==> ледокол                     
страшнейших                  ==> страшный                    
вероятных                    ==> вероятный                   
красноярцам                  ==> краснояеец                  
показательных                ==> показательный               
неожиданностях               ==> неожиданность               
остывшем                     ==> остывший                    
валенок                      ==> валенка                     
раздают                      ==> раздать                     
стопроцентных                ==> стопроцентный               
Дарьи                        ==> Дарье                       
оковы                        ==> оков                        
лобового                     ==> лобовый                     
надвигались                  ==> надвигаться                 
отношений                    ==> отношение                   
сдерживаться                 ==> сдерживаться                

==================================================
epoch=9
осеннею                      ==> осеннят                     
приказания                   ==> приказание                  
одностороннего               ==> односторонни                
пущенный                     ==> пущенный                    
Сьюзан                       ==> Сьюзан                      
лейтенантам                  ==> лейтенант                   
невыразимый                  ==> невыразимый                 
примет                       ==> примат                      
кедр                         ==> кедр                        
пучка                        ==> пучка                       
фермах                       ==> ферм                        
умным                        ==> умный                       
меткою                       ==> метка                       
правдивейшего                ==> правдивый                   
мотоциклисту                 ==> мотоциклист                 
сочной                       ==> сочный                      
царственным                  ==> царственный                 
область                      ==> область                     
похищенном                   ==> похищенный                  
мешочек                      ==> мешочка                     
блюстителя                   ==> блюститель                  
постыдными                   ==> постыдный                   
возьмите                     ==> возьмить                    
абонент                      ==> абонент                     
глобальном                   ==> глобальный                  
недосягаемому                ==> недосягаемый                
докторских                   ==> докторский                  
вездеходы                    ==> вездеход                    
тарифах                      ==> тариф                       
пропускных                   ==> пропускный                  
подданном                    ==> подданный                   
доступнейших                 ==> доступный                   
зажал                        ==> зажать                      
непослушнейшею               ==> непослушный                 
благополучья                 ==> благополучие                
нелегальными                 ==> нелегальный                 
порезвей                     ==> порезват                    
паи                          ==> па                          
дружная                      ==> дружный                     
оккупирована                 ==> оккупированный              
подобной                     ==> подобный                    
необитаемом                  ==> необитаемый                 
кажущейся                    ==> кажущийся                   
направишься                  ==> направиться                 
привычным                    ==> привычный                   
подбил                       ==> подбить                     
фирменною                    ==> фирменный                   
завоют                       ==> завеи                       
распространюсь               ==> распространить              
восхищаться                  ==> восхищаться                 
неуловимейшая                ==> неуловимый                  
липчайшим                    ==> липчыш                      
восхищались                  ==> восхищаться                 
пушистою                     ==> пушистый                    
левейшее                     ==> левый                       
пятнистому                   ==> пятнистый                   
Гэри                         ==> Гэри                        
популярною                   ==> популярный                  
героической                  ==> героический                 
бастовал                     ==> бастовать                   
примитивнейшему              ==> примитивный                 
чешского                     ==> чешский                     
посуда                       ==> посуд                       
малообеспеченная             ==> малообеспеченный            
вспыхнули                    ==> вспыхнуть                   
миллиардам                   ==> миллиард                    
керосином                    ==> керосин                     
вскрики                      ==> вскрик                      
коротеньких                  ==> коротенький                 
общественнейших              ==> общественный                
изображались                 ==> изображаться                
заблокируешь                 ==> заблокировать               
швейцарской                  ==> швейцарский                 
форте                        ==> форт                        
нужде                        ==> нужда                       
безрассудным                 ==> безрассудный                
спорна                       ==> спорный                     
застрелили                   ==> застрелить                  
пострадавший                 ==> пострадавший                
вид                          ==> вид                         
вращениями                   ==> вращение                    
июльских                     ==> июльский                    
коммунистические             ==> коммунистический            
отрицательнейшем             ==> отрицательный               
худшего                      ==> худший                      
